year,core,peripheral,key,major,minor
2001,405,0,369,36,0
2002,1498,0,1374,124,0
2003,2476,0,2264,212,0
2004,2726,0,2495,231,0
2005,3952,0,3482,470,0
2006,4969,17,4191,778,17
2007,5748,186,4825,1036,73
2008,6241,691,5290,1567,75
2009,6387,1004,5434,1878,79
2010,6397,1128,5443,2003,79
2011,6414,1147,5452,2023,86
2012,6498,1212,5458,2141,111
2013,6739,1446,5458,2443,284
2014,6813,1478,5458,2546,287
2015,6853,1569,5458,2623,341
2016,6865,1622,5458,2685,344
2017,6935,1644,5458,2777,344
